TransactionID,UserID,CourseID,TransactionDate,Amount,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,TeacherID,Expertise,YearsOfExperience,TeacherRating,RatingTier_x,RatingTier_y,RatingTier
TR00001,U0041,C035,2024-10-16,7316,Programming,Live,Beginner,7316,5,4.97,T026,Business,6,3.52,Low,Low,Low
TR00002,U0021,C019,2023-04-25,5849,Data Science,Live,Intermediate,5849,37,4.25,T016,Business,7,3.53,Low,Low,Low
TR00003,U0001,C035,2023-01-26,7316,Programming,Live,Beginner,7316,5,4.97,T026,Business,6,3.52,Low,Low,Low
TR00004,U0127,C046,2023-10-09,9053,Design,Recorded,Intermediate,9053,38,4.55,T006,Marketing,8,3.57,Low,Low,Low
TR00005,U0007,C032,2023-09-08,1133,Programming,Recorded,Beginner,1133,34,4.71,T029,Design,13,4.31,Mid,Mid,Mid
TR00006,U0096,C027,2023-08-17,2531,Design,Recorded,Beginner,2531,22,4.38,T024,Business,2,4.83,High,High,High
TR00007,U0150,C013,2023-05-23,6301,Marketing,Live,Advanced,6301,12,3.81,T011,Programming,10,3.64,Low,Low,Low
TR00008,U0137,C001,2023-04-15,2365,Programming,Recorded,Intermediate,2365,15,4.54,T020,Business,1,4.2,Mid,Mid,Mid
TR00009,U0101,C023,2024-11-23,4072,Design,Recorded,Intermediate,4072,33,4.72,T008,Programming,12,3.74,Low,Low,Low
TR00010,U0082,C036,2024-07-12,2852,Programming,Recorded,Beginner,2852,22,4.41,T019,Design,5,4.02,Mid,Mid,Mid
TR00011,U0171,C042,2023-03-31,4376,Design,Live,Beginner,4376,26,4.18,T010,Programming,7,4.01,Mid,Mid,Mid
TR00012,U0135,C046,2024-08-27,9053,Design,Recorded,Intermediate,9053,38,4.55,T006,Marketing,8,3.57,Low,Low,Low
TR00013,U0118,C018,2024-03-08,5748,Data Science,Recorded,Intermediate,5748,13,3.53,T023,Design,1,4.92,High,High,High
TR00014,U0066,C048,2023-02-02,3703,Data Science,Recorded,Beginner,3703,5,4.19,T005,Programming,1,4.6,High,High,High
TR00015,U0149,C012,2023-01-31,3923,Design,Live,Beginner,3923,30,3.91,T016,Business,7,3.53,Low,Low,Low
TR00016,U0043,C006,2023-04-06,2324,Business,Live,Beginner,2324,12,4.59,T021,Business,10,4.47,Mid,Mid,Mid
TR00017,U0006,C001,2023-08-12,2365,Programming,Recorded,Intermediate,2365,15,4.54,T020,Business,1,4.2,Mid,Mid,Mid
TR00018,U0100,C001,2023-08-27,2365,Programming,Recorded,Intermediate,2365,15,4.54,T020,Business,1,4.2,Mid,Mid,Mid
TR00019,U0165,C020,2024-06-01,4709,Programming,Live,Advanced,4709,24,4.21,T011,Programming,10,3.64,Low,Low,Low
TR00020,U0035,C038,2024-09-08,5175,Marketing,Recorded,Advanced,5175,15,4.33,T021,Business,10,4.47,Mid,Mid,Mid
TR00021,U0166,C024,2023-01-28,7530,Design,Recorded,Beginner,7530,17,4.95,T004,Programming,3,4.15,Mid,Mid,Mid
TR00022,U0128,C034,2024-07-28,4627,Programming,Live,Intermediate,4627,37,4.43,T029,Design,13,4.31,Mid,Mid,Mid
TR00023,U0170,C037,2023-07-23,5910,Programming,Live,Intermediate,5910,36,4.45,T019,Design,5,4.02,Mid,Mid,Mid
TR00024,U0118,C010,2024-10-27,2810,Data Science,Recorded,Advanced,2810,12,3.81,T011,Programming,10,3.64,Low,Low,Low
TR00025,U0173,C024,2024-12-19,7530,Design,Recorded,Beginner,7530,17,4.95,T004,Programming,3,4.15,Mid,Mid,Mid
TR00026,U0017,C043,2024-07-12,6645,Programming,Live,Intermediate,6645,31,4.87,T029,Design,13,4.31,Mid,Mid,Mid
TR00027,U0047,C015,2024-03-05,9905,Design,Recorded,Advanced,9905,32,4.64,T015,Marketing,14,3.76,Low,Low,Low
TR00028,U0120,C006,2023-08-14,2324,Business,Live,Beginner,2324,12,4.59,T021,Business,10,4.47,Mid,Mid,Mid
TR00029,U0032,C004,2024-04-04,8494,Marketing,Recorded,Intermediate,8494,36,4.87,T002,Marketing,10,4.28,Mid,Mid,Mid
TR00030,U0157,C042,2024-08-26,4376,Design,Live,Beginner,4376,26,4.18,T010,Programming,7,4.01,Mid,Mid,Mid
TR00031,U0097,C004,2023-10-12,8494,Marketing,Recorded,Intermediate,8494,36,4.87,T002,Marketing,10,4.28,Mid,Mid,Mid
TR00032,U0016,C022,2023-01-07,9647,Business,Live,Advanced,9647,32,3.96,T016,Business,7,3.53,Low,Low,Low
TR00033,U0103,C033,2023-06-13,3105,Design,Live,Intermediate,3105,9,4.85,T018,Data Science,12,4.71,High,High,High
TR00034,U0182,C040,2024-12-15,7190,Business,Recorded,Beginner,7190,30,4.59,T018,Data Science,12,4.71,High,High,High
TR00035,U0162,C009,2024-03-08,4486,Business,Recorded,Beginner,4486,32,3.86,T030,Programming,5,4.53,High,High,High
TR00036,U0086,C030,2023-12-15,1928,Marketing,Live,Intermediate,1928,6,4.68,T003,Business,14,4.49,Mid,Mid,Mid
TR00037,U0147,C023,2023-10-12,4072,Design,Recorded,Intermediate,4072,33,4.72,T008,Programming,12,3.74,Low,Low,Low
TR00038,U0081,C045,2023-06-09,4584,Marketing,Recorded,Intermediate,4584,37,4.29,T021,Business,10,4.47,Mid,Mid,Mid
TR00039,U0142,C018,2023-08-09,5748,Data Science,Recorded,Intermediate,5748,13,3.53,T023,Design,1,4.92,High,High,High
TR00040,U0135,C048,2023-12-11,3703,Data Science,Recorded,Beginner,3703,5,4.19,T005,Programming,1,4.6,High,High,High
TR00041,U0100,C036,2023-04-15,2852,Programming,Recorded,Beginner,2852,22,4.41,T019,Design,5,4.02,Mid,Mid,Mid
TR00042,U0072,C029,2023-04-05,1823,Programming,Recorded,Advanced,1823,29,4.13,T003,Business,14,4.49,Mid,Mid,Mid
TR00043,U0166,C048,2024-01-25,3703,Data Science,Recorded,Beginner,3703,5,4.19,T005,Programming,1,4.6,High,High,High
TR00044,U0174,C037,2023-04-10,5910,Programming,Live,Intermediate,5910,36,4.45,T019,Design,5,4.02,Mid,Mid,Mid
TR00045,U0150,C027,2024-01-03,2531,Design,Recorded,Beginner,2531,22,4.38,T024,Business,2,4.83,High,High,High
TR00046,U0014,C035,2023-12-19,7316,Programming,Live,Beginner,7316,5,4.97,T026,Business,6,3.52,Low,Low,Low
TR00047,U0182,C036,2024-09-10,2852,Programming,Recorded,Beginner,2852,22,4.41,T019,Design,5,4.02,Mid,Mid,Mid
TR00048,U0046,C017,2023-09-28,5268,Marketing,Live,Beginner,5268,21,3.9,T023,Design,1,4.92,High,High,High
TR00049,U0025,C020,2023-02-14,4709,Programming,Live,Advanced,4709,24,4.21,T011,Programming,10,3.64,Low,Low,Low
TR00050,U0106,C043,2024-04-15,6645,Programming,Live,Intermediate,6645,31,4.87,T029,Design,13,4.31,Mid,Mid,Mid
TR00051,U0055,C015,2024-07-03,9905,Design,Recorded,Advanced,9905,32,4.64,T015,Marketing,14,3.76,Low,Low,Low
TR00052,U0084,C043,2023-05-08,6645,Programming,Live,Intermediate,6645,31,4.87,T029,Design,13,4.31,Mid,Mid,Mid
TR00053,U0003,C022,2024-01-23,9647,Business,Live,Advanced,9647,32,3.96,T016,Business,7,3.53,Low,Low,Low
TR00054,U0116,C001,2023-03-22,2365,Programming,Recorded,Intermediate,2365,15,4.54,T020,Business,1,4.2,Mid,Mid,Mid
TR00055,U0010,C015,2024-07-19,9905,Design,Recorded,Advanced,9905,32,4.64,T015,Marketing,14,3.76,Low,Low,Low
TR00056,U0142,C003,2023-10-28,9702,Business,Live,Advanced,9702,14,4.62,T005,Programming,1,4.6,High,High,High
TR00057,U0069,C006,2024-10-05,2324,Business,Live,Beginner,2324,12,4.59,T021,Business,10,4.47,Mid,Mid,Mid
TR00058,U0007,C003,2024-09-25,9702,Business,Live,Advanced,9702,14,4.62,T005,Programming,1,4.6,High,High,High
TR00059,U0090,C006,2024-01-06,2324,Business,Live,Beginner,2324,12,4.59,T021,Business,10,4.47,Mid,Mid,Mid
TR00060,U0127,C049,2024-08-14,9662,Design,Recorded,Beginner,9662,25,4.76,T009,Design,10,3.68,Low,Low,Low
TR00061,U0026,C038,2023-07-16,5175,Marketing,Recorded,Advanced,5175,15,4.33,T021,Business,10,4.47,Mid,Mid,Mid
TR00062,U0166,C045,2024-12-22,4584,Marketing,Recorded,Intermediate,4584,37,4.29,T021,Business,10,4.47,Mid,Mid,Mid
TR00063,U0067,C012,2023-03-13,3923,Design,Live,Beginner,3923,30,3.91,T016,Business,7,3.53,Low,Low,Low
TR00064,U0043,C010,2023-02-16,2810,Data Science,Recorded,Advanced,2810,12,3.81,T011,Programming,10,3.64,Low,Low,Low
TR00065,U0021,C033,2024-11-08,3105,Design,Live,Intermediate,3105,9,4.85,T018,Data Science,12,4.71,High,High,High
TR00066,U0043,C043,2023-08-22,6645,Programming,Live,Intermediate,6645,31,4.87,T029,Design,13,4.31,Mid,Mid,Mid
TR00067,U0050,C038,2023-10-24,5175,Marketing,Recorded,Advanced,5175,15,4.33,T021,Business,10,4.47,Mid,Mid,Mid
TR00068,U0107,C014,2023-03-23,5186,Marketing,Recorded,Beginner,5186,32,4.82,T019,Design,5,4.02,Mid,Mid,Mid
TR00069,U0129,C015,2023-08-27,9905,Design,Recorded,Advanced,9905,32,4.64,T015,Marketing,14,3.76,Low,Low,Low
TR00070,U0131,C012,2023-04-14,3923,Design,Live,Beginner,3923,30,3.91,T016,Business,7,3.53,Low,Low,Low
TR00071,U0118,C005,2024-01-25,5312,Business,Recorded,Advanced,5312,20,4.38,T006,Marketing,8,3.57,Low,Low,Low
TR00072,U0200,C022,2023-10-12,9647,Business,Live,Advanced,9647,32,3.96,T016,Business,7,3.53,Low,Low,Low
TR00073,U0025,C020,2024-04-09,4709,Programming,Live,Advanced,4709,24,4.21,T011,Programming,10,3.64,Low,Low,Low
TR00074,U0018,C022,2024-10-12,9647,Business,Live,Advanced,9647,32,3.96,T016,Business,7,3.53,Low,Low,Low
TR00075,U0173,C021,2024-01-09,7619,Marketing,Recorded,Intermediate,7619,17,4.75,T022,Business,10,3.57,Low,Low,Low
TR00076,U0170,C017,2023-06-16,5268,Marketing,Live,Beginner,5268,21,3.9,T023,Design,1,4.92,High,High,High
TR00077,U0067,C016,2024-01-15,6977,Business,Live,Beginner,6977,31,3.57,T025,Design,14,3.89,Low,Low,Low
TR00078,U0068,C027,2023-12-30,2531,Design,Recorded,Beginner,2531,22,4.38,T024,Business,2,4.83,High,High,High
TR00079,U0114,C042,2023-08-03,4376,Design,Live,Beginner,4376,26,4.18,T010,Programming,7,4.01,Mid,Mid,Mid
TR00080,U0012,C005,2024-11-17,5312,Business,Recorded,Advanced,5312,20,4.38,T006,Marketing,8,3.57,Low,Low,Low
TR00081,U0132,C045,2023-10-01,4584,Marketing,Recorded,Intermediate,4584,37,4.29,T021,Business,10,4.47,Mid,Mid,Mid
TR00082,U0079,C034,2024-12-19,4627,Programming,Live,Intermediate,4627,37,4.43,T029,Design,13,4.31,Mid,Mid,Mid
TR00083,U0179,C024,2024-11-30,7530,Design,Recorded,Beginner,7530,17,4.95,T004,Programming,3,4.15,Mid,Mid,Mid
TR00084,U0065,C027,2024-10-25,2531,Design,Recorded,Beginner,2531,22,4.38,T024,Business,2,4.83,High,High,High
TR00085,U0162,C005,2023-03-15,5312,Business,Recorded,Advanced,5312,20,4.38,T006,Marketing,8,3.57,Low,Low,Low
TR00086,U0056,C010,2024-09-15,2810,Data Science,Recorded,Advanced,2810,12,3.81,T011,Programming,10,3.64,Low,Low,Low
TR00087,U0117,C035,2024-10-12,7316,Programming,Live,Beginner,7316,5,4.97,T026,Business,6,3.52,Low,Low,Low
TR00088,U0121,C040,2023-06-25,7190,Business,Recorded,Beginner,7190,30,4.59,T018,Data Science,12,4.71,High,High,High
TR00089,U0027,C003,2024-06-30,9702,Business,Live,Advanced,9702,14,4.62,T005,Programming,1,4.6,High,High,High
TR00090,U0188,C026,2023-09-08,2214,Programming,Recorded,Advanced,2214,10,4.69,T004,Programming,3,4.15,Mid,Mid,Mid
TR00091,U0009,C034,2023-06-17,4627,Programming,Live,Intermediate,4627,37,4.43,T029,Design,13,4.31,Mid,Mid,Mid
TR00092,U0171,C026,2024-04-18,2214,Programming,Recorded,Advanced,2214,10,4.69,T004,Programming,3,4.15,Mid,Mid,Mid
TR00093,U0067,C050,2024-01-24,9120,Design,Live,Intermediate,9120,10,4.65,T012,Data Science,5,3.64,Low,Low,Low
TR00094,U0033,C019,2023-10-04,5849,Data Science,Live,Intermediate,5849,37,4.25,T016,Business,7,3.53,Low,Low,Low
TR00095,U0070,C047,2024-10-17,4330,Business,Live,Beginner,4330,39,4.69,T001,Business,12,4.46,Mid,Mid,Mid
TR00096,U0164,C020,2024-12-05,4709,Programming,Live,Advanced,4709,24,4.21,T011,Programming,10,3.64,Low,Low,Low
TR00097,U0141,C031,2024-07-24,6029,Data Science,Recorded,Advanced,6029,14,4.46,T027,Marketing,9,4.9,High,High,High
TR00098,U0014,C002,2023-08-13,9691,Data Science,Live,Advanced,9691,16,4.3,T024,Business,2,4.83,High,High,High
TR00099,U0169,C014,2024-12-02,5186,Marketing,Recorded,Beginner,5186,32,4.82,T019,Design,5,4.02,Mid,Mid,Mid
