TeacherID,Expertise,YearsOfExperience,TeacherRating
T001,Business,12,4.46
T002,Marketing,10,4.28
T003,Business,14,4.49
T004,Programming,3,4.15
T005,Programming,1,4.6
T006,Marketing,8,3.57
T007,Data Science,3,4.35
T008,Programming,12,3.74
T009,Design,10,3.68
T010,Programming,7,4.01
T011,Programming,10,3.64
T012,Data Science,5,3.64
T013,Business,10,3.97
T014,Programming,5,4.97
T015,Marketing,14,3.76
T016,Business,7,3.53
T017,Design,9,4.65
T018,Data Science,12,4.71
T019,Design,5,4.02
T020,Business,1,4.2
T021,Business,10,4.47
T022,Business,10,3.57
T023,Design,1,4.92
T024,Business,2,4.83
T025,Design,14,3.89
T026,Business,6,3.52
T027,Marketing,9,4.9
T028,Business,8,4.25
T029,Design,13,4.31
T030,Programming,5,4.53
