TransactionID,UserID,CourseID,TransactionDate,Amount
TR00001,U0041,C035,2024-10-16,7316
TR00002,U0021,C019,2023-04-25,5849
TR00003,U0001,C035,2023-01-26,7316
TR00004,U0127,C046,2023-10-09,9053
TR00005,U0007,C032,2023-09-08,1133
TR00006,U0096,C027,2023-08-17,2531
TR00007,U0150,C013,2023-05-23,6301
TR00008,U0137,C001,2023-04-15,2365
TR00009,U0101,C023,2024-11-23,4072
TR00010,U0082,C036,2024-07-12,2852
TR00011,U0171,C042,2023-03-31,4376
TR00012,U0135,C046,2024-08-27,9053
TR00013,U0118,C018,2024-03-08,5748
TR00014,U0066,C048,2023-02-02,3703
TR00015,U0149,C012,2023-01-31,3923
TR00016,U0043,C006,2023-04-06,2324
TR00017,U0006,C001,2023-08-12,2365
TR00018,U0100,C001,2023-08-27,2365
TR00019,U0165,C020,2024-06-01,4709
TR00020,U0035,C038,2024-09-08,5175
TR00021,U0166,C024,2023-01-28,7530
TR00022,U0128,C034,2024-07-28,4627
TR00023,U0170,C037,2023-07-23,5910
TR00024,U0118,C010,2024-10-27,2810
TR00025,U0173,C024,2024-12-19,7530
TR00026,U0017,C043,2024-07-12,6645
TR00027,U0047,C015,2024-03-05,9905
TR00028,U0120,C006,2023-08-14,2324
TR00029,U0032,C004,2024-04-04,8494
TR00030,U0157,C042,2024-08-26,4376
TR00031,U0097,C004,2023-10-12,8494
TR00032,U0016,C022,2023-01-07,9647
TR00033,U0103,C033,2023-06-13,3105
TR00034,U0182,C040,2024-12-15,7190
TR00035,U0162,C009,2024-03-08,4486
TR00036,U0086,C030,2023-12-15,1928
TR00037,U0147,C023,2023-10-12,4072
TR00038,U0081,C045,2023-06-09,4584
TR00039,U0142,C018,2023-08-09,5748
TR00040,U0135,C048,2023-12-11,3703
TR00041,U0100,C036,2023-04-15,2852
TR00042,U0072,C029,2023-04-05,1823
TR00043,U0166,C048,2024-01-25,3703
TR00044,U0174,C037,2023-04-10,5910
TR00045,U0150,C027,2024-01-03,2531
TR00046,U0014,C035,2023-12-19,7316
TR00047,U0182,C036,2024-09-10,2852
TR00048,U0046,C017,2023-09-28,5268
TR00049,U0025,C020,2023-02-14,4709
TR00050,U0106,C043,2024-04-15,6645
TR00051,U0055,C015,2024-07-03,9905
TR00052,U0084,C043,2023-05-08,6645
TR00053,U0003,C022,2024-01-23,9647
TR00054,U0116,C001,2023-03-22,2365
TR00055,U0010,C015,2024-07-19,9905
TR00056,U0142,C003,2023-10-28,9702
TR00057,U0069,C006,2024-10-05,2324
TR00058,U0007,C003,2024-09-25,9702
TR00059,U0090,C006,2024-01-06,2324
TR00060,U0127,C049,2024-08-14,9662
TR00061,U0026,C038,2023-07-16,5175
TR00062,U0166,C045,2024-12-22,4584
TR00063,U0067,C012,2023-03-13,3923
TR00064,U0043,C010,2023-02-16,2810
TR00065,U0021,C033,2024-11-08,3105
TR00066,U0043,C043,2023-08-22,6645
TR00067,U0050,C038,2023-10-24,5175
TR00068,U0107,C014,2023-03-23,5186
TR00069,U0129,C015,2023-08-27,9905
TR00070,U0131,C012,2023-04-14,3923
TR00071,U0118,C005,2024-01-25,5312
TR00072,U0200,C022,2023-10-12,9647
TR00073,U0025,C020,2024-04-09,4709
TR00074,U0018,C022,2024-10-12,9647
TR00075,U0173,C021,2024-01-09,7619
TR00076,U0170,C017,2023-06-16,5268
TR00077,U0067,C016,2024-01-15,6977
TR00078,U0068,C027,2023-12-30,2531
TR00079,U0114,C042,2023-08-03,4376
TR00080,U0012,C005,2024-11-17,5312
TR00081,U0132,C045,2023-10-01,4584
TR00082,U0079,C034,2024-12-19,4627
TR00083,U0179,C024,2024-11-30,7530
TR00084,U0065,C027,2024-10-25,2531
TR00085,U0162,C005,2023-03-15,5312
TR00086,U0056,C010,2024-09-15,2810
TR00087,U0117,C035,2024-10-12,7316
TR00088,U0121,C040,2023-06-25,7190
TR00089,U0027,C003,2024-06-30,9702
TR00090,U0188,C026,2023-09-08,2214
TR00091,U0009,C034,2023-06-17,4627
TR00092,U0171,C026,2024-04-18,2214
TR00093,U0067,C050,2024-01-24,9120
TR00094,U0033,C019,2023-10-04,5849
TR00095,U0070,C047,2024-10-17,4330
TR00096,U0164,C020,2024-12-05,4709
TR00097,U0141,C031,2024-07-24,6029
TR00098,U0014,C002,2023-08-13,9691
TR00099,U0169,C014,2024-12-02,5186
TR00100,U0067,C044,2023-11-29,4486
TR00101,U0192,C009,2023-02-27,4486
TR00102,U0021,C038,2023-08-23,5175
TR00103,U0095,C024,2023-02-02,7530
TR00104,U0053,C028,2023-11-20,8576
TR00105,U0192,C008,2024-02-15,8419
TR00106,U0063,C045,2023-10-02,4584
TR00107,U0117,C050,2023-03-09,9120
TR00108,U0155,C023,2023-08-05,4072
TR00109,U0020,C006,2024-08-03,2324
TR00110,U0157,C045,2023-11-19,4584
TR00111,U0028,C011,2023-08-06,7588
TR00112,U0117,C034,2024-11-02,4627
TR00113,U0082,C028,2024-05-26,8576
TR00114,U0098,C041,2024-02-10,2256
TR00115,U0001,C037,2024-10-20,5910
TR00116,U0001,C017,2024-04-14,5268
TR00117,U0161,C021,2023-05-27,7619
TR00118,U0049,C046,2023-09-29,9053
TR00119,U0108,C030,2023-05-23,1928
TR00120,U0106,C041,2023-09-10,2256
TR00121,U0008,C011,2024-07-28,7588
TR00122,U0182,C008,2024-07-05,8419
TR00123,U0007,C007,2023-09-27,4141
TR00124,U0167,C037,2024-08-21,5910
TR00125,U0012,C035,2024-03-14,7316
TR00126,U0140,C034,2024-08-20,4627
TR00127,U0183,C050,2024-02-13,9120
TR00128,U0197,C016,2024-01-06,6977
TR00129,U0007,C007,2023-08-13,4141
TR00130,U0011,C006,2023-05-22,2324
TR00131,U0112,C012,2024-06-05,3923
TR00132,U0050,C035,2024-05-20,7316
TR00133,U0187,C042,2023-04-04,4376
TR00134,U0019,C001,2023-02-18,2365
TR00135,U0150,C008,2023-04-23,8419
TR00136,U0163,C022,2023-06-06,9647
TR00137,U0029,C020,2024-10-04,4709
TR00138,U0130,C048,2023-06-13,3703
TR00139,U0121,C034,2024-11-27,4627
TR00140,U0010,C028,2024-03-08,8576
TR00141,U0105,C008,2024-09-02,8419
TR00142,U0143,C016,2023-03-07,6977
TR00143,U0123,C016,2024-01-30,6977
TR00144,U0067,C004,2024-01-26,8494
TR00145,U0021,C031,2024-09-02,6029
TR00146,U0075,C035,2024-04-24,7316
TR00147,U0186,C007,2024-06-25,4141
TR00148,U0119,C023,2023-09-15,4072
TR00149,U0072,C022,2024-07-20,9647
TR00150,U0129,C039,2023-01-12,6348
TR00151,U0082,C037,2024-11-27,5910
TR00152,U0199,C023,2023-04-28,4072
TR00153,U0075,C031,2024-11-29,6029
TR00154,U0191,C017,2024-07-03,5268
TR00155,U0021,C026,2023-10-01,2214
TR00156,U0137,C035,2024-10-18,7316
TR00157,U0087,C001,2023-12-15,2365
TR00158,U0159,C017,2023-04-25,5268
TR00159,U0001,C021,2023-10-28,7619
TR00160,U0075,C002,2024-03-21,9691
TR00161,U0142,C024,2023-06-11,7530
TR00162,U0105,C001,2024-04-09,2365
TR00163,U0079,C047,2023-01-04,4330
TR00164,U0129,C002,2023-09-27,9691
TR00165,U0185,C004,2024-05-27,8494
TR00166,U0176,C019,2023-07-02,5849
TR00167,U0170,C041,2024-06-03,2256
TR00168,U0145,C023,2023-04-19,4072
TR00169,U0011,C016,2024-10-02,6977
TR00170,U0005,C006,2023-11-02,2324
TR00171,U0153,C027,2024-10-16,2531
TR00172,U0076,C010,2024-06-03,2810
TR00173,U0189,C020,2024-09-15,4709
TR00174,U0139,C040,2023-07-23,7190
TR00175,U0008,C002,2023-06-06,9691
TR00176,U0075,C013,2024-01-18,6301
TR00177,U0088,C039,2023-06-15,6348
TR00178,U0096,C005,2024-07-06,5312
TR00179,U0003,C010,2024-06-27,2810
TR00180,U0195,C005,2023-01-01,5312
TR00181,U0171,C043,2024-09-05,6645
TR00182,U0022,C031,2023-11-28,6029
TR00183,U0188,C025,2024-05-15,1504
TR00184,U0176,C006,2023-01-20,2324
TR00185,U0123,C044,2023-04-25,4486
TR00186,U0196,C023,2024-01-07,4072
TR00187,U0016,C006,2023-11-11,2324
TR00188,U0026,C049,2023-09-03,9662
TR00189,U0005,C030,2023-03-01,1928
TR00190,U0061,C013,2023-09-04,6301
TR00191,U0006,C026,2024-08-03,2214
TR00192,U0033,C049,2023-03-22,9662
TR00193,U0062,C027,2023-03-29,2531
TR00194,U0188,C004,2024-05-12,8494
TR00195,U0093,C025,2023-03-12,1504
TR00196,U0043,C004,2024-06-29,8494
TR00197,U0119,C031,2023-05-09,6029
TR00198,U0057,C030,2023-05-12,1928
TR00199,U0044,C036,2024-11-06,2852
TR00200,U0079,C044,2024-05-01,4486
TR00201,U0078,C045,2024-07-16,4584
TR00202,U0018,C043,2023-06-19,6645
TR00203,U0084,C020,2023-09-29,4709
TR00204,U0021,C042,2024-06-24,4376
TR00205,U0160,C016,2024-09-13,6977
TR00206,U0006,C021,2024-03-09,7619
TR00207,U0004,C028,2023-08-05,8576
TR00208,U0110,C027,2024-07-06,2531
TR00209,U0192,C033,2024-12-07,3105
TR00210,U0121,C019,2023-07-25,5849
TR00211,U0089,C031,2024-12-31,6029
TR00212,U0160,C016,2023-11-16,6977
TR00213,U0087,C016,2024-02-13,6977
TR00214,U0157,C033,2024-11-18,3105
TR00215,U0076,C021,2024-10-27,7619
TR00216,U0010,C037,2024-01-18,5910
TR00217,U0165,C020,2024-03-24,4709
TR00218,U0082,C042,2024-06-13,4376
TR00219,U0118,C019,2024-04-07,5849
TR00220,U0128,C035,2023-05-04,7316
TR00221,U0107,C006,2023-09-11,2324
TR00222,U0121,C012,2023-08-19,3923
TR00223,U0053,C045,2023-03-07,4584
TR00224,U0127,C031,2023-12-13,6029
TR00225,U0029,C042,2023-01-22,4376
TR00226,U0194,C022,2024-08-25,9647
TR00227,U0040,C028,2024-07-21,8576
TR00228,U0072,C042,2023-08-24,4376
TR00229,U0027,C039,2024-08-25,6348
TR00230,U0127,C025,2023-08-14,1504
